,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,garagem,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,banheiros,suites,portaria permanente
0,593026,Santa Martha,150000.0,226.9,44.0,1,0,1,1,0,1,16,0,0, Frente,1," rotativa, descoberta. ",4,1,1,0,0,1,0,0,0,0,1,2,1,0,1
1,604957,Santa Lúcia,150000.0,653.02,63.0,1,0,0,1,0,1,16,2,0, Fundo,0, ,4,0,0,0,0,0,0,0,0,0,0,2,1,0,1
2,494064,Praia do Canto,150000.0,281.0,42.0,1,0,1,1,0,1,0,1,0, Frente,1, livre e coberta ,6,1,0,1,0,0,1,0,1,0,0,1,1,0,1
3,664485,Ilha de Monte Belo,150000.0,350.0,126.0,1,0,0,0,0,1,12,0,0, Frente,0, ,4,1,0,0,0,0,0,0,0,0,0,3,1,0,0
4,545440,Bento Ferreira,155000.0,230.0,36.0,1,0,1,1,0,1,54,0,0, Frente,1, privativa e coberta ,6,0,0,1,0,0,1,0,0,0,0,1,1,0,0
5,563398,Barro Vermelho,159500.0,494.95,50.0,1,0,1,1,0,1,64,0,1, Lateral,1, coberta ,8,1,0,1,0,1,1,0,1,0,1,1,1,0,1
6,547683,Praia de Santa Helena,160000.0,0.0,13.0,1,0,0,1,0,0,220,0,0, Frente,0, ,22,0,0,1,0,0,1,0,1,0,0,1,1,0,1
7,629250,Jardim Camburi,160000.0,209.0,48.0,1,0,0,1,1,1,32,1,0, Frente,0, ,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0
8,524842,Parque Moscoso,168000.0,365.0,120.0,2,0,0,1,1,1,54,1,0, Lateral,0, não tem ,6,1,0,0,0,0,1,0,1,0,0,3,2,0,0
9,625231,Maruípe,175000.0,549.0,80.0,2,0,1,0,0,1,12,0,0, Lateral,1, privativa ,4,1,1,1,0,1,0,0,0,0,0,2,2,0,1
10,629670,Jardim Camburi,179000.0,231.51,66.0,1,0,1,0,0,1,18,0,0, Frente,1, vaga presa ,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
11,459118,Santa Cecília,180000.0,551.61,91.77,2,0,1,0,1,1,16,0,0, Fundo,1, coberta e presa ,4,0,0,1,0,0,0,0,0,0,0,2,2,0,0
12,643735,Jardim Camburi,184500.0,296.53,50.0,1,0,1,1,0,1,180,0,0, Frente,1, ,4,1,1,1,1,1,0,0,0,0,1,2,1,0,1
13,628888,Jardim Camburi,185000.0,215.05,45.0,1,0,1,1,0,1,16,0,0, Lateral,1, coberta - privativa e livre ,4,1,0,1,0,1,0,0,0,0,0,1,1,0,0
14,666359,Jardim Camburi,189000.0,368.75,45.0,1,0,1,1,0,1,36,0,0, Fundo,1, coberta solta ,12,0,0,1,0,1,0,0,1,0,0,1,1,0,0
15,640922,Jardim Camburi,190000.0,371.45,35.0,1,0,1,0,0,1,70,0,0, Frente,1," coberta, livre no pavimento g ",10,1,0,1,0,1,1,0,1,0,0,1,1,0,0
16,650003,Jardim Camburi,190000.0,428.0,55.0,1,0,1,1,0,1,84,0,0, Fundo,1, coberta ,4,1,1,0,0,0,0,0,0,0,0,2,1,0,0
17,658963,Jardim Camburi,190000.0,290.0,75.0,1,0,1,0,0,1,96,0,0, Frente,1, ,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
18,638192,Jardim Camburi,195000.0,295.0,50.0,1,0,1,0,0,1,240,0,0, Frente,1, ,4,1,0,0,1,1,0,0,0,0,1,2,1,0,1
19,660285,Jardim Camburi,195000.0,289.0,51.98,1,0,1,1,0,1,36,0,0, Frente,1, coberta ,4,1,0,0,0,0,0,0,1,0,0,2,1,0,0
20,615935,Jardim Camburi,199000.0,262.1,60.0,1,0,1,1,0,1,32,1,0, Frente,1, coberta ,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
21,653248,Jardim da Penha,199000.0,175.3,47.36,0,1,0,1,0,1,8,0,0, Frente,0, ,4,1,0,0,0,0,0,0,1,0,0,1,0,1,1
22,641948,Jardim Camburi,200000.0,326.2,60.0,1,0,1,1,0,1,16,1,0, Frente,1, coberta - privativa e livre ,4,1,1,1,0,1,0,0,0,0,1,2,1,0,1
23,647363,Jardim Camburi,200000.0,215.0,50.0,1,0,1,1,0,1,12,0,0, Lateral,1, privativa / coberta ,4,1,0,0,0,1,0,0,1,0,1,2,1,0,0
24,184507,Jardim da Penha,200000.0,250.0,46.0,1,0,1,1,0,1,48,1,0, Fundo,1, privativa  ,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,601626,Praia do Canto,205000.0,813.0,76.0,2,1,0,1,0,2,12,1,0, Lateral,0, ,4,0,0,0,0,0,0,0,1,0,0,2,2,1,1
26,602535,Jardim Camburi,205000.0,306.26,36.43,1,0,1,1,0,1,160,1,1, Frente,1, ,20,1,0,1,0,0,1,1,1,0,1,1,1,0,1
27,630208,Centro,205000.0,271.71,97.0,1,0,0,1,0,1,18,4,0, Frente,0, ,3,1,0,0,0,0,1,0,0,0,0,3,1,0,0
28,604457,Maruípe,210000.0,356.47,63.0,1,0,1,1,0,1,16,0,0, Fundo,1," coberta, privativa e livre ",2,0,0,0,0,1,0,0,0,0,0,3,1,0,1
29,647616,Jardim Camburi,210000.0,307.0,35.0,1,0,1,1,0,1,160,1,1, Frente,1, livre e coberta ,20,0,0,1,0,1,1,1,1,1,1,1,1,0,1
30,580249,Jardim da Penha,210000.0,215.0,70.0,1,0,1,0,0,1,8,0,0, Frente,1," solta, privativa e coberta ",2,1,0,0,0,0,0,0,0,0,0,2,1,0,0
31,659206,Jardim Camburi,210000.0,218.88,68.0,2,0,1,1,0,1,4,0,0, Frente,1, privativa coberta ,4,0,0,0,0,0,0,0,0,0,1,2,2,0,0
32,627338,Jardim Camburi,212000.0,231.0,65.0,1,0,1,1,1,1,12,0,0, Lateral,1, coberta - privativa e livre ,4,0,0,1,0,1,0,0,0,0,0,2,1,0,0
33,602541,Lourdes,215000.0,252.14,74.0,2,0,0,1,1,1,16,0,0, Frente,0, vaga alugada ,4,0,0,0,0,0,0,0,1,0,0,2,2,0,0
34,654050,Jardim Camburi,215000.0,330.41,91.0,1,0,1,1,0,1,12,1,0, Frente,1, coberta e rotativa  ,4,1,0,0,0,1,0,0,0,0,0,3,1,0,0
