,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,portaria permanente
1435,502897,praia da costa,600000.0,1780.0,176.05,1.0,1.0,1.0,1,1,1,40,2,1, Fundo, privativa e coberta - nº 49 ,4,0,0,1,0,1,1,0,1,1,1,3,1
729,398726,praia do canto,660000.0,538.0,90.0,2.0,1.0,2.0,1,0,1,0,2,1, Fundo," privativa, coberta, 01 livre e 01 presa ",4,1,1,1,0,1,1,1,1,1,1,3,1
1227,569649,colina de laranjeiras,255000.0,299.23,73.28,1.0,1.0,2.0,1,0,1,96,1,1, Fundo, privativas descobertas ,8,0,1,1,1,1,1,1,1,1,1,2,1
993,338412,praia do canto,1490000.0,2338.61,260.0,1.0,2.0,2.0,1,0,1,16,1,0, Frente," privativa, livre, coberta ",1,1,0,1,0,0,1,0,0,0,1,4,1
1216,638014,valparaíso,235000.0,287.0,89.0,2.0,1.0,1.0,1,0,1,96,1,1, Fundo, n°23 ,8,1,1,1,0,1,1,0,1,1,1,2,1
751,347791,jardim camburi,680000.0,363.4,101.6,2.0,1.0,2.0,1,0,1,24,2,1, Fundo, solidária e coberta ,4,1,0,1,0,0,1,0,1,1,1,3,0
710,529623,jardim da penha,650000.0,980.0,90.0,1.0,1.0,2.0,1,0,1,48,2,1, Frente," solidária, coberta ",12,0,1,0,0,0,1,1,1,1,1,3,1
383,651684,jardim camburi,398000.0,470.35,72.0,1.0,1.0,3.0,1,0,1,20,1,0, Frente," privativa, coberta ",4,1,0,0,0,1,1,0,0,0,0,2,0
82,656642,jardim da penha,250000.0,0.0,54.0,1.0,,,1,0,1,12,0,0, Lateral, ,4,0,0,0,0,1,0,0,1,0,0,2,0
845,344636,mata da praia,830000.0,76.81,120.0,1.0,1.0,2.0,1,0,1,48,1,1, Frente, cobertas e solidárias ,4,1,1,1,0,1,1,0,1,0,1,4,1
1372,655266,praia de itaparica,380937.5,1018.2,74.37,1.0,1.0,1.0,0,0,1,228,1,1, Lateral, privativa - nº 28 t ,12,1,1,1,0,1,1,1,1,1,1,2,1
135,655643,jardim camburi,278125.0,710.0,66.08,1.0,1.0,1.0,0,0,1,96,1,1, Fundo, privativa - nº v 06 ,6,1,1,1,0,1,1,1,1,1,1,3,1
1182,628762,nova almeida,185000.0,0.0,58.48,1.0,,1.0,0,0,1,12,1,0, Frente, coberta ,6,1,0,0,0,1,1,0,0,1,1,2,0
593,525539,bento ferreira,540000.0,1.0,90.0,1.0,1.0,2.0,1,0,1,36,1,1, Fundo, privativa / coberta ,3,1,1,1,0,1,1,0,1,1,1,3,1
623,571564,praia do canto,555000.0,535.9,70.0,2.0,1.0,2.0,1,0,1,44,1,1, Frente," cobertas - privativas, 01 livre e 01 presa ",4,1,0,1,0,1,1,0,1,1,1,2,1
277,613166,praia do canto,350000.0,28.18,70.0,1.0,,0.0,1,0,1,8,0,0, Lateral, estacionamento ,4,1,0,0,0,0,0,0,0,0,0,2,0
1155,516128,valparaíso,155000.0,220.0,64.0,1.0,0.0,1.0,1,0,1,0,0,0, Frente, descoberta ,0,1,0,1,1,0,0,0,0,0,1,3,1
583,638010,praia do canto,530000.0,1024.96,105.0,1.0,1.0,2.0,1,1,1,22,1,1, Frente, solidarias e cobertas ,2,0,0,1,0,1,1,0,1,1,1,3,1
1198,513255,morada de laranjeiras,210000.0,275.0,51.0,1.0,1.0,1.0,1,0,1,80,1,1, Fundo, vaga coberta ,8,1,1,1,1,1,1,1,1,1,1,2,1
1071,640857,taquaras i,80000.0,153.7,47.27,,,1.0,0,0,0,0,0,0, Fundo, descoberta ,0,0,1,0,1,0,0,0,0,0,1,2,1
125,617128,jardim camburi,270000.0,367.0,70.0,1.0,0.0,1.0,1,0,1,12,0,0, Frente, privativa ,4,0,1,1,1,1,0,0,1,0,1,3,1
354,643207,praia do canto,385000.0,758.04,95.0,1.0,1.0,2.0,1,0,1,33,2,1, Frente, privativa / solidárias / coberta ,3,1,1,1,0,1,1,0,1,1,1,3,1
347,655689,santa terezinha,380000.0,403.18,60.0,2.0,1.0,1.0,1,0,1,36,1,1, Fundo, livre ,4,0,0,0,0,0,1,0,0,0,0,2,0
857,472016,mata da praia,850000.0,701.0,115.0,1.0,1.0,2.0,1,0,1,48,1,1, Fundo, privativa / coberta ,4,1,1,1,0,1,1,0,1,1,1,4,1
1214,648849,ourimar,230000.0,279.2,66.85,,1.0,1.0,0,0,0,0,0,0, Frente, coberta ,0,0,1,0,1,0,1,1,0,0,1,3,0
1007,655187,ponta de tubarão,1600000.0,1347.0,183.27,2.0,2.0,3.0,1,1,1,72,2,1, Frente, privativas e cobertas ,4,1,1,1,1,1,1,1,1,1,1,5,1
1525,632473,itapuã,1950000.0,2802.71,249.14,3.0,2.0,3.0,1,1,2,96,1,1, Lateral," soltas e cobertas, números 85,86 e 87  ",4,1,1,1,0,1,1,0,1,1,1,3,1
275,588908,praia do canto,350000.0,773.52,99.0,3.0,0.0,1.0,1,1,1,28,0,0, Frente, livre ,4,1,0,1,0,0,1,0,1,0,1,3,1
885,626552,praia de santa helena,900000.0,772.59,108.0,4.0,3.0,2.0,1,0,2,192,1,1, Lateral, cobertas e solidarias no térreo ,4,0,1,1,1,1,1,1,1,1,1,3,1
1047,532319,barro vermelho,2500000.0,900.0,216.7,4.0,2.0,3.0,1,1,1,42,1,1, Frente, privativas e cobertas ,3,1,1,1,1,1,1,1,1,1,1,3,1
181,583017,jardim camburi,300000.0,0.0,44.0,1.0,1.0,1.0,1,0,1,120,1,1, Lateral, direito ao uso  de estacionamento rotativa ,20,0,0,1,0,0,1,0,1,0,1,1,1
